project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details,loc,kloc
jeonjeunghoon_Kculter,evosuite,0.98,0.0,431,441,1353,1369,348,358,success,maven_returncode=0,2771,2.771
juliengalet_reactor-flow,evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1,1956,1.956
Katibat_java-filmorate,evosuite,23.9,17.06,244,330,270,425,134,204,success,maven_returncode=0,1082,1.082
kousen_questjpa,evosuite,71.73,66.67,41,145,60,216,31,115,success,maven_returncode=0,615,0.615
kriscfoster_spring-boot-testing-pyramid,evosuite,48.39,0,3,6,6,9,3,6,success,maven_returncode=0,33,0.033
kymotz_mdkiller,evosuite,94.39,89.02,28,216,24,356,5,81,success,maven_returncode=0,599,0.599
kyungseo_project-web-starter,evosuite,22.26,41.65,2025,2759,4192,5602,1471,1835,success,maven_returncode=0,12472,12.472
Le36_chip36,evosuite,77.98,58.93,121,380,256,889,23,162,success,maven_returncode=0,3229,3.229
leanstacks_skeleton-ws-spring-boot,evosuite,0.0,0.0,186,186,477,477,162,162,success,maven_returncode=0,1163,1.163
liuhongdi_ratelimiter,evosuite,0.0,0.0,54,54,134,134,50,50,success,maven_returncode=0,315,0.315
lyubenblagoev_postfix-rest-server,evosuite,12.61,7.06,471,531,945,1106,390,446,success,maven_returncode=0,2770,2.77
mariamihai_spring-security-amigoscode-tutorial,evosuite,41.41,25.0,38,73,111,191,36,71,success,maven_returncode=0,515,0.515
markbdsouza_hateoas-with-pagination,evosuite,16.43,0.0,26,36,42,56,24,34,success,maven_returncode=0,207,0.207
martinachov_hexagonal-architecture-ddd-springboot,evosuite,35.85,0.0,44,79,42,65,43,78,success,maven_returncode=0,237,0.237
max-jang_korea-music-chart-api,evosuite,0.0,0.0,203,203,312,312,115,115,success,maven_returncode=0,594,0.594
MikeAScott_spring-todo-list,evosuite,0.0,0.0,35,35,76,76,34,34,success,maven_returncode=0,193,0.193
moacirrf_nb-java-decompiler,evosuite,45.24,26.19,36,66,63,121,16,45,success,maven_returncode=0,351,0.351
mohaghighi_Covid19-Web-Application,evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1,610,0.61
Mozenn_spring-boot-hibernate-search,evosuite,8.91,7.89,83,91,74,87,48,53,success,maven_returncode=0,260,0.26
Mozenn_spring-boot-keycloak,evosuite,7.07,2.08,52,55,46,57,28,31,success,maven_returncode=0,167,0.167
nikoo28_java-solutions,evosuite,16.74,12.96,2288,2668,5007,6110,773,933,success,maven_returncode=0,9196,9.196
nishihatapalmer_TreeTable,evosuite,50.89,40.79,580,1006,990,2092,224,477,success,maven_returncode=0,3571,3.571
nscuro_bradamsa-ng,evosuite,64.07,43.75,29,99,74,245,13,75,success,maven_returncode=0,574,0.574
nuriofernandez_ReflectedEventHandler,evosuite,60.23,38.46,39,85,53,130,19,59,success,maven_returncode=0,299,0.299
olein_Java-AWS-RnD,evosuite,53.01,0.0,24,47,66,125,22,45,success,maven_returncode=0,276,0.276
OmarAlHaj24_OnDriver,evosuite,74.65,59.24,80,261,176,572,30,142,success,maven_returncode=0,1155,1.155
Online-Job-Portal-CG_Backend,evosuite,17.24,10.0,436,582,964,1237,373,512,success,maven_returncode=0,3678,3.678
openapi-json-schema-tools_openapi-json-schema-generator,evosuite,0.0,0.0,6525,6525,15651,15651,2078,2078,success,maven_returncode=0,27225,27.225
piinalpin_springboot-jpa-specification,evosuite,85.0,88.27,25,219,39,144,10,138,success,maven_returncode=0,341,0.341
Pradyuman7_Algorithmics,evosuite,99.84,98.08,3,121,1,233,0,43,success,maven_returncode=0,410,0.41
puzpuzpuz_java-concurrency-samples,evosuite,93.41,76.79,11,109,19,218,0,81,success,maven_returncode=0,531,0.531
raffoulRicardo_movimento-qa-2023,evosuite,51.22,48.81,41,84,23,43,19,42,success,maven_returncode=0,110,0.11
rahul26021999_QrCode-JavaSpringBoot,evosuite,28.76,0,5,9,25,34,5,9,success,maven_returncode=0,79,0.079
raviyasas_sample-room,evosuite,23.08,0.0,53,64,32,62,30,41,success,maven_returncode=0,186,0.186
rmondejar_spring-boot-junit5-example,evosuite,0.22,0.0,196,197,123,124,134,135,success,maven_returncode=0,402,0.402
RTBHOUSE_kafka-workers,evosuite,4.75,6.16,797,858,1894,2008,467,509,success,maven_returncode=0,3928,3.928
s1ck_gdl,evosuite,64.51,40.42,295,790,587,1724,92,517,success,maven_returncode=0,1209,1.209
sashinpivotal_spring-boot-tdd,evosuite,56.63,87.5,13,37,33,61,11,21,success,maven_returncode=0,154,0.154
sayan-d99_Spring-Security-JWT-Authentication,evosuite,7.47,0.0,36,41,80,89,29,34,success,maven_returncode=0,240,0.24
schauder_talk-beyond,evosuite,58.61,0.0,17,41,39,96,16,40,success,maven_returncode=0,342,0.342
SelimHorri_embedded-mongo-playing-with-spring-boot,evosuite,1.76,0.0,89,91,62,64,55,57,success,maven_returncode=0,201,0.201
SelimHorri_hr-management-system,evosuite,5.57,0.0,154,172,347,372,146,164,success,maven_returncode=0,1168,1.168
simplyi_NewSpringAuthorizationServer,evosuite,1.71,0.0,17,18,53,54,16,17,success,maven_returncode=0,141,0.141
souris-dev_samosac-jvm,evosuite,29.69,16.01,1436,2266,3585,5055,602,1330,success,maven_returncode=0,2798,2.798
strategyengine_fsedistributionservice,evosuite,5.21,2.34,2963,3104,2719,2918,1364,1475,success,maven_returncode=0,6326,6.326
supaldubey_blog-server,evosuite,36.55,15.33,456,608,987,1489,394,538,success,maven_returncode=0,3512,3.512
syqu22_spring-boot-shop-sample,evosuite,0.0,0.0,212,212,351,351,137,137,success,maven_returncode=0,935,0.935
szerhusenBC_jwt-spring-security-demo,evosuite,0.0,0.0,105,105,254,254,87,87,success,maven_returncode=0,685,0.685
tuomount_Open-Realms-of-Stars,evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1,111133,111.133
Victor-Borisov_java-filmorate,evosuite,5.78,0.41,373,389,297,332,251,267,success,maven_returncode=0,1008,1.008
wdrammeh_utg-student-dashboard,evosuite,1.69,1.11,2524,2621,8763,8969,1395,1482,success,maven_returncode=0,13380,13.38
WoMakersCode_bootcamp-java-starwars-restapi,evosuite,25.53,0.0,21,37,73,101,18,34,success,maven_returncode=0,225,0.225
Xpectuer_miniJuliaSonar,evosuite,36.4,22.07,1110,1628,2614,4094,315,661,success,maven_returncode=0,6904,6.904
